cycle,entity_type,entity_id,entity_name,entity_subtype,party_label,party_score_dem,party_score_rep,lean_dem_amt,lean_rep_amt,mixed_amt,unknown_amt,lean_measure_total,coverage_total,coverage_ratio,classification_method,classification_source,scope
2024,committee,C90022518,OHIO WORKS,I,R,0.0,1.0,0,4247967,0.0,0.0,4247967,4247967,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00844282,PIVOTPAC,O,D,1.0,0.0,4198709,0,0.0,0.0,4198709,4198709,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00733352,AMERICANS 4 SECURITY PAC,O,D,1.0,0.0,3084502,1109722,0.0,0.0,4194224,4194224,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00483883,RETIRED AMERICANS PAC,O,D,1.0,0.0,4187456,0,0.0,0.0,4187456,4187456,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00007880,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",Q,Mixed,0.5303481185356838,0.46965188146431625,2209915,1956999,0.0,0.0,4166914,4166914,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00718353,MILLIONS OF MICHIGANIANS,O,D,1.0,0.0,4162188,0,0.0,0.0,4162188,4162188,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00701888,UNITE THE COUNTRY,O,D,1.0,0.0,4037615,0,0.0,0.0,4037615,4037615,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00666388,DUTY AND COUNTRY,O,D,1.0,0.0,4032810,0,0.0,0.0,4032810,4032810,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00698936,"WFW ACTION FUND, INC.",V,R,0.0,1.0,96170,3927395,0.0,0.0,4023565,4023565,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00540203,DEFENDING MAIN STREET SUPERPAC INC.,O,R,0.0,1.0,495600,3527435,0.0,0.0,4023035,4023035,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00753277,BLACK VOTERS MATTER ACTION PAC,O,D,1.0,0.0,3926235,0,0.0,0.0,3926235,3926235,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00872085,SOUTH CAROLINA PATRIOTS PAC,O,D,1.0,0.0,3309845,512094,0.0,0.0,3821939,3821939,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00106146,AMERICAN HOSPITAL ASSOCIATION PAC,Q,Mixed,0.4998648125578861,0.5001351874421138,1824750,1825737,0.0,0.0,3650487,3650487,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C90022633,CAMPAIGN FOR A FAMILY FRIENDLY ECONOMY,I,D,1.0,0.0,3582513,0,0.0,0.0,3582513,3582513,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00630665,JUSTICE DEMOCRATS PAC,W,Mixed,0.6973459035327226,0.30265409646727737,2411510,1046616,0.0,0.0,3458126,3458126,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00489856,ESAFUND,O,R,0.0,1.0,0,3409597,0.0,0.0,3409597,3409597,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C90011172,AFSCME WORKING FAMILIES FUND,I,D,1.0,0.0,3371926,0,0.0,0.0,3371926,3371926,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00863084,GOOD FIGHT,O,R,0.0,1.0,314990,3010735,0.0,0.0,3325725,3325725,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00341396,MOVEON.ORG POLITICAL ACTION,W,D,1.0,0.0,3319282,250,0.0,0.0,3319532,3319532,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00864926,AMERICA LEADS ACTION INC.,O,D,1.0,0.0,2573515,744422,0.0,0.0,3317937,3317937,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00747121,RED SENATE,O,R,0.0,1.0,2740,3268277,0.0,0.0,3271017,3271017,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00874875,VOTERS FOR RESPONSIVE GOVERNMENT (VRG),O,R,0.0,1.0,0,3245812,0.0,0.0,3245812,3245812,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00772152,ELECT PRINCIPLED VETERANS FUND (EPV FUND),O,R,0.0,1.0,0,3245811,0.0,0.0,3245811,3245811,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00580068,PROGRESSIVE TURNOUT PROJECT,W,D,1.0,0.0,3244584,0,0.0,0.0,3244584,3244584,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00881474,FLORIDA PATRIOTS PAC,O,Mixed,0.6960891761419068,0.3039108238580932,2151210,939213,0.0,0.0,3090423,3090423,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00839464,COMMITTED TO AMERICA PAC,O,R,0.0,1.0,0,3075224,0.0,0.0,3075224,3075224,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00887968,EVANGELICALS FOR AMERICA PAC,V,D,1.0,0.0,3071500,0,0.0,0.0,3071500,3071500,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00882381,PEOPLE POWER PENNSYLVANIA,O,D,1.0,0.0,3066571,0,0.0,0.0,3066571,3066571,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00808121,BIG RED LEADERSHIP PAC,O,R,0.0,1.0,0,3053932,0.0,0.0,3053932,3053932,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00748475,CONSERVATIVE OUTSIDER PAC INC,O,R,0.0,1.0,0,3026394,0.0,0.0,3026394,3026394,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00832485,SHOW-ME STRONG PAC,O,R,0.0,1.0,0,3018691,0.0,0.0,3018691,3018691,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00573261,END CITIZENS UNITED,Q,D,1.0,0.0,2984114,0,0.0,0.0,2984114,2984114,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C90022328,NATIONAL INTEREST ACTION INC,I,Mixed,0.4901066542900494,0.5098933457099506,1459370,1518288,0.0,0.0,2977658,2977658,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00815928,READY TO WIN,V,R,0.0,1.0,0,2901933,0.0,0.0,2901933,2901933,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00876391,THE IMPACT FUND,V,D,1.0,0.0,2797962,54571,0.0,0.0,2852533,2852533,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00756569,WORKER POWER PAC,O,D,1.0,0.0,2804242,0,0.0,0.0,2804242,2804242,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00890053,FUTURE PENNSYLVANIA PAC,O,D,1.0,0.0,2450083,349051,0.0,0.0,2799134,2799134,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00752048,LABORERS' INTERNATIONAL UNION OF NORTH AMERICA POLITICAL FUND,O,D,1.0,0.0,2778915,7970,0.0,0.0,2786885,2786885,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00882399,ANTI-PSYCHOPATH PAC INC.,O,D,1.0,0.0,2753125,0,0.0,0.0,2753125,2753125,1.0,candidate_facing_committee_activity,ie_spending,all_committees
